from_state,to_state,is_valid,nbr_errors,nbr_correct
0,0,True,0,2
1,0,True,1,1
2,0,False,0,2
3,0,False,1,1
4,0,False,0,2
5,0,False,1,1
6,0,False,0,2
7,0,False,1,1
8,0,True,1,1
9,0,True,2,0
10,0,False,1,1
11,0,False,2,0
12,0,False,1,1
13,0,False,2,0
14,0,False,1,1
15,0,False,2,0
0,1,True,1,2
1,1,True,0,3
2,1,False,1,2
3,1,False,0,3
4,1,True,2,1
5,1,True,1,2
6,1,False,2,1
7,1,False,1,2
8,1,True,2,1
9,1,True,1,2
10,1,False,2,1
11,1,False,1,2
12,1,True,3,0
13,1,True,2,1
14,1,False,3,0
15,1,False,2,1
0,2,False,0,2
1,2,False,1,1
2,2,True,0,2
3,2,True,1,1
4,2,False,0,2
5,2,False,1,1
6,2,False,0,2
7,2,False,1,1
8,2,False,1,1
9,2,False,2,0
10,2,True,1,1
11,2,True,2,0
12,2,False,1,1
13,2,False,2,0
14,2,False,1,1
15,2,False,2,0
0,3,False,1,2
1,3,False,0,3
2,3,True,1,2
3,3,True,0,3
4,3,False,2,1
5,3,False,1,2
6,3,True,2,1
7,3,True,1,2
8,3,False,2,1
9,3,False,1,2
10,3,True,2,1
11,3,True,1,2
12,3,False,3,0
13,3,False,2,1
14,3,True,3,0
15,3,True,2,1
0,4,False,0,2
1,4,False,1,1
2,4,False,0,2
3,4,False,1,1
4,4,True,0,2
5,4,True,1,1
6,4,False,0,2
7,4,False,1,1
8,4,False,1,1
9,4,False,2,0
10,4,False,1,1
11,4,False,2,0
12,4,True,1,1
13,4,True,2,0
14,4,False,1,1
15,4,False,2,0
0,5,True,2,1
1,5,True,1,2
2,5,False,2,1
3,5,False,1,2
4,5,True,1,2
5,5,True,0,3
6,5,False,1,2
7,5,False,0,3
8,5,True,3,0
9,5,True,2,1
10,5,False,3,0
11,5,False,2,1
12,5,True,2,1
13,5,True,1,2
14,5,False,2,1
15,5,False,1,2
0,6,False,0,2
1,6,False,1,1
2,6,False,0,2
3,6,False,1,1
4,6,False,0,2
5,6,False,1,1
6,6,True,0,2
7,6,True,1,1
8,6,False,1,1
9,6,False,2,0
10,6,False,1,1
11,6,False,2,0
12,6,False,1,1
13,6,False,2,0
14,6,True,1,1
15,6,True,2,0
0,7,False,2,1
1,7,False,1,2
2,7,True,2,1
3,7,True,1,2
4,7,False,1,2
5,7,False,0,3
6,7,True,1,2
7,7,True,0,3
8,7,False,3,0
9,7,False,2,1
10,7,True,3,0
11,7,True,2,1
12,7,False,2,1
13,7,False,1,2
14,7,True,2,1
15,7,True,1,2
0,8,True,1,2
1,8,True,2,1
2,8,True,2,1
3,8,True,3,0
4,8,False,1,2
5,8,False,2,1
6,8,False,2,1
7,8,False,3,0
8,8,True,0,3
9,8,True,1,2
10,8,True,1,2
11,8,True,2,1
12,8,False,0,3
13,8,False,1,2
14,8,False,1,2
15,8,False,2,1
0,9,True,2,2
1,9,True,1,3
2,9,True,3,1
3,9,True,2,2
4,9,True,3,1
5,9,True,2,2
6,9,True,4,0
7,9,True,3,1
8,9,True,1,3
9,9,True,0,4
10,9,True,2,2
11,9,True,1,3
12,9,True,2,2
13,9,True,1,3
14,9,True,3,1
15,9,True,2,2
0,10,True,2,1
1,10,True,3,0
2,10,True,1,2
3,10,True,2,1
4,10,False,2,1
5,10,False,3,0
6,10,False,1,2
7,10,False,2,1
8,10,True,1,2
9,10,True,2,1
10,10,True,0,3
11,10,True,1,2
12,10,False,1,2
13,10,False,2,1
14,10,False,0,3
15,10,False,1,2
0,11,True,3,1
1,11,True,2,2
2,11,True,2,2
3,11,True,1,3
4,11,True,4,0
5,11,True,3,1
6,11,True,3,1
7,11,True,2,2
8,11,True,2,2
9,11,True,1,3
10,11,True,1,3
11,11,True,0,4
12,11,True,3,1
13,11,True,2,2
14,11,True,2,2
15,11,True,1,3
0,12,False,1,2
1,12,False,2,1
2,12,False,2,1
3,12,False,3,0
4,12,True,1,2
5,12,True,2,1
6,12,True,2,1
7,12,True,3,0
8,12,False,0,3
9,12,False,1,2
10,12,False,1,2
11,12,False,2,1
12,12,True,0,3
13,12,True,1,2
14,12,True,1,2
15,12,True,2,1
0,13,True,3,1
1,13,True,2,2
2,13,True,4,0
3,13,True,3,1
4,13,True,2,2
5,13,True,1,3
6,13,True,3,1
7,13,True,2,2
8,13,True,2,2
9,13,True,1,3
10,13,True,3,1
11,13,True,2,2
12,13,True,1,3
13,13,True,0,4
14,13,True,2,2
15,13,True,1,3
0,14,False,2,1
1,14,False,3,0
2,14,False,1,2
3,14,False,2,1
4,14,True,2,1
5,14,True,3,0
6,14,True,1,2
7,14,True,2,1
8,14,False,1,2
9,14,False,2,1
10,14,False,0,3
11,14,False,1,2
12,14,True,1,2
13,14,True,2,1
14,14,True,0,3
15,14,True,1,2
0,15,True,4,0
1,15,True,3,1
2,15,True,3,1
3,15,True,2,2
4,15,True,3,1
5,15,True,2,2
6,15,True,2,2
7,15,True,1,3
8,15,True,3,1
9,15,True,2,2
10,15,True,2,2
11,15,True,1,3
12,15,True,2,2
13,15,True,1,3
14,15,True,1,3
15,15,True,0,4
